ID_Order,ID_Customer,ID_Item,DateTime_CartFinalize,Amount_Gross_Order,city_name_fa,Quantity_item
2714054,469662,21386,2015-10-15 08:50:56.000,597982.0,محمود آباد,1.0
11104039,3063877,248497,2018-02-11 00:29:26.000,980000.0,خرمدره,1.0
4228130,3184893,50144,2016-06-14 00:30:08.000,229358.0,قرچک,1.0
22225624,6888562,70208,2018-09-03 14:37:19.000,16514.0,قم,1.0
4068771,2533490,67627,2016-05-21 11:51:02.000,133028.0,تهران,1.0
11479246,2841640,312932,2018-03-01 12:07:15.000,290000.0,مشهد,1.0
8267421,5235886,42365,2017-08-19 13:30:24.000,55046.0,اصفهان,1.0
11588978,5574955,715680,2018-03-04 19:19:02.000,2790000.0,رشت,1.0
9916301,1145709,102588,2017-12-11 19:33:59.000,34862.0,تهران,1.0
10740652,4928230,658519,2018-01-23 06:11:34.000,2600000.0,خرمشهر,1.0
4605740,637880,138296,2016-08-02 10:48:18.000,469358.0,تهران,1.0
5623610,2827566,23927,2016-12-04 03:12:59.000,108000.0,لالی,1.0
13469523,3819595,564993,2018-06-13 12:28:55.000,525000.0,تهران,1.0
24233238,500391,1707686,2018-11-21 07:44:36.000,49000.0,تهران,1.0
4851441,3105577,183721,2016-08-31 13:27:44.000,23853.0,تهران,1.0
7759076,3185842,376625,2017-07-05 09:37:45.000,708440.0,اصفهان,1.0
23062506,7193109,1656648,2018-10-04 17:48:12.000,229000.0,تهران,2.0
9934875,2876902,140331,2017-12-13 11:28:20.000,717798.0,تنکابن,1.0
23693949,3665022,1671745,2018-10-30 22:15:15.000,73211.0,کرج,3.0
2589206,1351072,36298,2015-09-20 09:25:01.000,523761.0,تهران,1.0
6156363,3549803,193926,2017-01-24 03:05:35.000,41284.0,تهران,3.0
11140715,6500201,574889,2018-02-13 02:15:42.000,380000.0,اهواز,1.0
9503051,3048383,449799,2017-11-18 01:05:08.000,20000.0,اصفهان,1.0
9194454,1468632,67518,2017-10-28 03:52:34.000,71560.0,قم,1.0
22454972,3527897,882178,2018-09-11 04:53:56.000,47706.0,تهران,1.0
7926701,5341438,294942,2017-07-19 22:54:56.000,100000.0,شاهین شهر,1.0
1847113,1477206,10792,2015-03-09 17:26:57.000,1657407.0,تهران,1.0
4051538,884210,74547,2016-05-18 15:33:23.000,465780.0,تهران,1.0
2592465,1417307,32475,2015-09-20 15:56:56.000,73394.0,تهران,1.0
8036631,3247711,9556,2017-07-29 12:22:19.000,256881.0,تهران,1.0
6769561,3883460,273905,2017-03-15 09:15:07.000,385321.0,تهران,1.0
6049218,2975257,145505,2017-01-12 16:57:44.000,5340000.0,زنجان,1.0
23241056,535856,1399641,2018-10-13 00:18:22.000,55000.0,ساری,1.0
8868925,4446506,80598,2017-10-06 20:11:03.000,280000.0,کلور,1.0
6675155,3727007,125562,2017-03-09 12:27:52.000,156000.0,تهران,1.0
1566382,702672,36610,2014-12-09 08:29:35.000,7838889.0,تهران,1.0
8072392,3874571,140447,2017-08-01 11:29:18.000,66055.0,مشهد,1.0
10036529,2734114,536734,2017-12-19 10:19:54.000,82569.0,تهران,1.0
8898958,3889260,416448,2017-10-08 18:24:31.000,10000.0,هچیرود,1.0
3701661,1482434,114137,2016-03-27 08:23:50.000,5954128.0,مبارکه,1.0
21559534,4505349,153637,2018-08-11 17:53:01.000,51376.0,مشهد,1.0
4389985,3885634,178275,2016-07-04 10:52:20.000,20000.0,آبادان,1.0
22602306,6115804,1248029,2018-09-16 18:17:45.000,212844.0,تهران,1.0
24666209,635480,393695,2018-12-05 08:03:23.000,36000.0,تهران,1.0
23634499,5196834,1157587,2018-10-28 16:07:17.000,142982.0,تهران,3.0
7304516,4751528,236525,2017-05-17 09:36:28.000,3110092.0,کیش,1.0
12638135,2367349,648768,2018-04-28 21:23:26.000,290000.0,بندر انزلی,1.0
11361182,1048594,759586,2018-02-24 00:18:36.000,280000.0,تهران,1.0
7897349,1109296,194172,2017-07-17 17:47:26.000,3994128.0,بروجرد,1.0
12098630,496463,757921,2018-03-29 07:42:40.000,641284.0,اصفهان,1.0
8186946,5356355,395337,2017-08-12 11:10:35.000,1950000.0,قائم شهر,2.0
22700585,4158767,1553159,2018-09-21 13:58:48.000,400000.0,تهران,1.0
12978516,3322793,137708,2018-05-17 06:04:23.000,119266.0,تهران,1.0
4224278,977625,154332,2016-06-13 15:40:34.000,82569.0,تهران,1.0
6739433,3285324,294943,2017-03-12 18:41:03.000,1000000.0,آستانه اشرفیه,3.0
4444861,2935807,162909,2016-07-12 08:49:42.000,422018.0,تهران,1.0
4453377,720143,113902,2016-07-13 10:18:54.000,20174312.0,تهران,1.0
11106917,3756687,637826,2018-02-11 08:57:45.000,179000.0,تهران,1.0
7199298,3419485,288588,2017-05-04 21:02:22.000,2376147.0,شیراز,1.0
8259535,2744547,162680,2017-08-18 17:15:54.000,211835.0,آمل,1.0
10095770,5708387,436778,2017-12-20 01:27:47.000,900000.0,تهران,1.0
9889134,4864415,10844,2017-12-09 19:10:13.000,2110092.0,تهران,1.0
2853988,888508,93851,2015-11-13 23:05:58.000,14211009.0,کرمانشاه,1.0
6690876,2864208,292076,2017-03-10 15:26:45.000,1518257.0,تهران,1.0
11475436,5861850,791148,2018-02-28 00:05:17.000,7263303.0,اهواز,1.0
5919534,516610,101853,2016-12-29 17:59:27.000,72000.0,آبادان,1.0
24453924,4791601,767397,2018-11-27 19:52:25.000,19725.0,تهران,1.0
22625377,1053119,1514802,2018-09-17 15:32:06.000,4500000.0,شیراز,1.0
2633327,1374237,16257,2015-09-28 14:56:46.000,4177615.0,تهران,1.0
2660956,789236,33118,2015-10-04 16:56:56.000,13761.0,اصفهان,1.0
5148274,2316206,178368,2016-10-05 17:29:36.000,6009174.0,تهران,1.0
2959452,466790,84376,2015-12-06 10:13:41.000,1876147.0,تهران,1.0
11058492,1301609,609629,2018-02-08 10:21:17.000,1605505.0,تهران,1.0
11915825,6776866,861690,2018-03-16 12:53:45.000,135000.0,بوشهر,2.0
1914998,887628,35474,2015-03-29 15:57:08.000,6776147.0,تهران,1.0
24535088,3051293,1953312,2018-12-01 01:51:30.000,2200000.0,قزوین,1.0
22815677,6705289,1251878,2018-09-25 13:35:18.000,350000.0,تهران,1.0
23322590,844262,642965,2018-10-16 09:11:35.000,480000.0,تهران,2.0
10096664,2343976,102508,2017-12-20 01:06:45.000,25046.0,تهران,10.0
8483480,3421561,245223,2017-09-08 08:12:57.000,76780.0,اهواز,14.0
13000404,7073951,686855,2018-05-17 14:21:05.000,65045872.0,رشت,1.0
9826620,3054966,536733,2017-12-04 11:20:30.000,377615.0,اهواز,1.0
7621834,1425784,276765,2017-06-20 20:26:14.000,266881.0,شیراز,1.0
8838261,1458465,70354,2017-10-04 09:09:09.000,90367.0,تهران,1.0
10286520,3668479,83516,2017-12-24 19:16:13.000,100917.0,بندر عباس,1.0
12159229,6870910,703716,2018-04-02 17:24:18.000,270000.0,تهران,1.0
4670711,621215,177784,2016-08-09 12:54:19.000,30000.0,ساری,1.0
3606744,3084204,92115,2016-03-10 11:51:07.000,1275229.0,تهران,1.0
5259926,3789037,121953,2016-10-21 00:30:57.000,45872.0,تهران,1.0
4929440,3839885,123988,2016-09-09 13:00:59.000,82569.0,تهران,1.0
3340945,3308316,60054,2016-02-03 21:26:51.000,1807248.0,کرمانشاه,1.0
10431798,4100300,290135,2018-01-03 16:52:39.000,96330.0,تهران,2.0
12082993,834004,438498,2018-03-28 03:15:17.000,122936.0,تهران,1.0
8838981,1484461,172767,2017-10-04 10:21:34.000,972284.0,نیشابور,2.0
24360879,3350076,1834686,2018-11-24 18:59:51.000,680000.0,شیراز,1.0
10179164,1476510,174490,2017-12-21 02:11:06.000,197523.0,تهران,2.0
12468715,3716807,266045,2018-04-19 18:36:28.000,25000.0,تبریز,1.0
8975215,5638405,207710,2017-10-14 03:06:35.000,77982.0,اهواز,1.0
5198659,3380243,142567,2016-10-13 21:07:36.000,138440.0,تهران,1.0
12022774,643445,839769,2018-03-24 10:53:33.000,230000.0,شیراز,1.0
13503282,6225517,578390,2018-06-15 07:53:22.000,220917.0,تهران,1.0
5238665,505160,206457,2016-10-18 17:07:49.000,761101.0,اراک,2.0
13937067,3716652,775026,2018-07-08 12:28:19.000,770642.0,تهران,3.0
22852537,3644876,1044719,2018-09-26 16:37:53.000,1130000.0,تهران,1.0
8235453,1045473,275802,2017-08-16 02:37:56.000,248532.0,اهواز,1.0
12059014,3131429,507289,2018-03-26 22:51:00.000,175963.0,اهواز,1.0
8071066,2842964,240856,2017-08-01 10:09:16.000,101743.0,تهران,2.0
12246557,6113807,558216,2018-04-07 15:12:59.000,230000.0,تهران,1.0
12606141,2788385,840628,2018-04-27 00:01:15.000,490000.0,ایلام,1.0
2999193,617016,45041,2015-12-15 10:21:40.000,45871.0,تهران,3.0
11650779,1443957,445711,2018-03-06 12:21:25.000,1357798.0,تهران,1.0
23413131,588513,836144,2018-10-20 07:47:30.000,255000.0,لاهیجان,1.0
11264347,628232,445145,2018-02-19 00:07:16.000,155000.0,تهران,2.0
10649193,551207,637271,2018-01-17 16:48:47.000,100000.0,کرمانشاه,1.0
7892590,1068519,363371,2017-07-17 14:10:47.000,175550.0,بندر انزلی,2.0
23586542,6292615,1554926,2018-10-26 23:49:01.000,245000.0,شیراز,1.0
21714814,1490924,797482,2018-08-17 15:35:45.000,492000.0,علی آباد,2.0
6242285,4418067,157354,2017-02-02 02:28:59.000,22936.0,تهران,2.0
5774506,4475159,234956,2016-12-20 09:23:13.000,27055046.0,تهران,1.0
23810366,987908,728092,2018-11-04 14:31:39.000,399000.0,تهران,3.0
11155837,4251272,699579,2018-02-13 15:49:51.000,290000.0,تهران,1.0
22658486,5447929,1470684,2018-09-18 23:52:32.000,370000.0,شیراز,1.0
1658645,1367063,34772,2015-01-17 15:37:29.000,453704.0,یزد,1.0
4441890,885395,173639,2016-07-11 18:32:59.000,3385321.0,بندر انزلی,1.0
2288226,860035,8289,2015-07-08 14:21:39.000,45872.0,تهران,1.0
6784664,2833738,293088,2017-03-16 11:14:13.000,174312.0,تهران,1.0
10172243,5534482,554236,2017-12-21 01:19:25.000,850000.0,زابل,1.0
1399563,870199,11723,2014-09-09 12:27:57.000,2250000.0,تهران,1.0
8978570,3829262,277213,2017-10-13 00:40:56.000,4237064.0,کرج,1.0
4903154,3032510,91613,2016-09-06 11:50:28.000,16514.0,ساری,1.0
9968607,6056601,311668,2017-12-16 20:32:25.000,128440.0,اصفهان,1.0
5841113,3373075,235441,2016-12-22 11:03:58.000,1926606.0,تهران,1.0
7259350,4551811,297296,2017-05-12 15:48:53.000,440000.0,تهران,1.0
12821624,3746611,921406,2018-05-08 15:26:22.000,130000.0,تهران,1.0
12049064,746792,269170,2018-03-25 22:51:35.000,1329817.0,تهران,1.0
3234200,3474132,94233,2016-01-17 19:51:54.000,1761468.0,تهران,1.0
6960652,788130,30887,2017-04-08 17:10:00.000,70000.0,تهران,1.0
5696897,4487964,180116,2016-12-12 19:10:08.000,431193.0,شهرکرد,1.0
1951886,2396433,36782,2015-04-09 11:52:29.000,1192661.0,کرج,1.0
6951447,3765479,73507,2017-04-07 23:52:20.000,41284.0,تهران,1.0
22280947,2445600,1460001,2018-09-05 02:12:15.000,1960000.0,رویدر,1.0
8933985,3422868,75053,2017-10-10 08:42:33.000,185128.0,کبودر آهنگ,2.0
6740023,612722,298652,2017-03-13 12:12:01.000,1949541.0,تهران,1.0
7487454,3477601,102593,2017-06-06 09:47:56.000,20183.0,تهران,2.0
7791702,3208094,374360,2017-07-09 02:28:20.000,140000.0,قم,1.0
4321251,3435627,98939,2016-06-26 20:25:50.000,308165.0,تهران,1.0
5161505,693484,183052,2016-10-07 14:17:35.000,60105.0,تهران,1.0
4698009,1319431,194805,2016-08-13 00:48:19.000,1251284.0,تهران,2.0
22336421,3072581,65150,2018-09-07 00:29:13.000,15596.0,تهران,1.0
12753433,5449296,715148,2018-05-05 00:06:18.000,279817.0,اصفهان,2.0
4222901,1063576,78941,2016-06-13 12:56:56.000,4180092.0,تهران,1.0
21167481,3533862,258370,2018-07-28 18:48:00.000,6790000.0,تاکستان,1.0
24530602,3308394,1805225,2018-11-30 23:06:22.000,380000.0,ساری,1.0
4384841,646907,155303,2016-07-03 19:55:01.000,535825.0,یزد,2.0
12189287,4627250,875290,2018-04-04 11:14:25.000,33000.0,شیراز,1.0
7215310,4056195,294942,2017-05-07 00:59:00.000,100000.0,تهران,1.0
5534910,4317237,235784,2016-11-22 22:24:30.000,335550.0,تهران,1.0
5672554,3592242,157354,2016-12-10 03:03:50.000,22936.0,هشتگرد,1.0
2744253,2856033,9605,2015-10-21 08:32:55.000,458716.0,تهران,1.0
9330216,3454349,291729,2017-11-05 10:49:17.000,78761.0,تهران,2.0
6589194,3476797,289610,2017-03-04 01:38:01.000,128440.0,اهواز,1.0
13067449,2456524,782897,2018-05-22 13:27:19.000,281000.0,مشهد,1.0
8647530,1401250,180158,2017-09-19 17:02:35.000,42110.0,تهران,1.0
5288011,896175,200505,2016-10-23 11:42:45.000,536239.0,گرگان,1.0
13786366,988456,391338,2018-06-30 12:20:36.000,183486.0,تهران,2.0
3929075,2467660,116914,2016-05-01 01:08:06.000,238532.0,تهران,1.0
12361354,4159876,558778,2018-04-13 19:45:57.000,59000.0,اهواز,1.0
12711572,6456656,225737,2018-05-02 09:36:55.000,293578.0,مشهد,1.0
5048171,3118827,74818,2016-09-23 23:06:08.000,207248.0,رشت,1.0
10451610,3499222,316653,2018-01-05 00:17:04.000,712844.0,خمام,1.0
3271103,2556056,87784,2016-01-23 22:59:18.000,597156.0,تهران,1.0
1999059,482295,47277,2015-04-22 10:43:01.000,77982.0,ورزنه,1.0
3740082,688098,122444,2016-04-03 10:25:19.000,1188073.0,تهران,1.0
10338099,1059949,183020,2017-12-28 09:11:09.000,2126972.0,تهران,1.0
4453411,530650,51200,2016-07-13 10:27:54.000,1186422.0,گنبدکاووس,1.0
2373896,481719,28447,2015-08-01 23:19:50.000,140000.0,تهران,2.0
1431233,468228,20920,2014-09-28 12:13:28.000,4953704.0,تهران,1.0
